t,x,y,crs,NO2
2024-03-04,113.77659013525215,-7.020542032458331,b'',
2024-03-04,113.77659013525215,-7.055264254680547,b'',
2024-03-05,113.77659013525215,-7.020542032458331,b'',
2024-03-05,113.77659013525215,-7.055264254680547,b'',
2024-03-06,113.77659013525215,-7.020542032458331,b'',1.8987363e-05
2024-03-06,113.77659013525215,-7.055264254680547,b'',2.8496628e-05
2024-03-07,113.77659013525215,-7.020542032458331,b'',
2024-03-07,113.77659013525215,-7.055264254680547,b'',
2024-03-08,113.77659013525215,-7.020542032458331,b'',
2024-03-08,113.77659013525215,-7.055264254680547,b'',
2024-03-09,113.77659013525215,-7.020542032458331,b'',
2024-03-09,113.77659013525215,-7.055264254680547,b'',
2024-03-10,113.77659013525215,-7.020542032458331,b'',
2024-03-10,113.77659013525215,-7.055264254680547,b'',
2024-03-12,113.77659013525215,-7.020542032458331,b'',
2024-03-12,113.77659013525215,-7.055264254680547,b'',
2024-03-13,113.77659013525215,-7.020542032458331,b'',
2024-03-13,113.77659013525215,-7.055264254680547,b'',
2024-03-14,113.77659013525215,-7.020542032458331,b'',
2024-03-14,113.77659013525215,-7.055264254680547,b'',
2024-03-15,113.77659013525215,-7.020542032458331,b'',
2024-03-15,113.77659013525215,-7.055264254680547,b'',
2024-03-16,113.77659013525215,-7.020542032458331,b'',
2024-03-16,113.77659013525215,-7.055264254680547,b'',
2024-03-17,113.77659013525215,-7.020542032458331,b'',
2024-03-17,113.77659013525215,-7.055264254680547,b'',
2024-03-18,113.77659013525215,-7.020542032458331,b'',
2024-03-18,113.77659013525215,-7.055264254680547,b'',
2024-03-19,113.77659013525215,-7.020542032458331,b'',2.283761e-05
2024-03-19,113.77659013525215,-7.055264254680547,b'',
2024-03-20,113.77659013525215,-7.020542032458331,b'',
2024-03-20,113.77659013525215,-7.055264254680547,b'',
2024-03-21,113.77659013525215,-7.020542032458331,b'',1.1235144e-05
2024-03-21,113.77659013525215,-7.055264254680547,b'',
2024-03-22,113.77659013525215,-7.020542032458331,b'',
2024-03-22,113.77659013525215,-7.055264254680547,b'',
2024-03-24,113.77659013525215,-7.020542032458331,b'',
2024-03-24,113.77659013525215,-7.055264254680547,b'',
2024-03-25,113.77659013525215,-7.020542032458331,b'',
2024-03-25,113.77659013525215,-7.055264254680547,b'',
2024-03-26,113.77659013525215,-7.020542032458331,b'',
2024-03-26,113.77659013525215,-7.055264254680547,b'',
2024-03-27,113.77659013525215,-7.020542032458331,b'',
2024-03-27,113.77659013525215,-7.055264254680547,b'',
2024-03-28,113.77659013525215,-7.020542032458331,b'',
2024-03-28,113.77659013525215,-7.055264254680547,b'',
2024-03-29,113.77659013525215,-7.020542032458331,b'',
2024-03-29,113.77659013525215,-7.055264254680547,b'',
2024-03-30,113.77659013525215,-7.020542032458331,b'',2.6291342e-05
2024-03-30,113.77659013525215,-7.055264254680547,b'',9.119407e-06
2024-03-31,113.77659013525215,-7.020542032458331,b'',1.7537806e-05
2024-03-31,113.77659013525215,-7.055264254680547,b'',1.2937911e-05
2024-04-01,113.77659013525215,-7.020542032458331,b'',
2024-04-01,113.77659013525215,-7.055264254680547,b'',
2024-04-02,113.77659013525215,-7.020542032458331,b'',
2024-04-02,113.77659013525215,-7.055264254680547,b'',
2024-04-03,113.77659013525215,-7.020542032458331,b'',2.486323e-05
2024-04-03,113.77659013525215,-7.055264254680547,b'',1.8616282e-05
2024-04-04,113.77659013525215,-7.020542032458331,b'',
2024-04-04,113.77659013525215,-7.055264254680547,b'',
2024-04-05,113.77659013525215,-7.020542032458331,b'',
2024-04-05,113.77659013525215,-7.055264254680547,b'',
2024-04-06,113.77659013525215,-7.020542032458331,b'',
2024-04-06,113.77659013525215,-7.055264254680547,b'',
2024-04-07,113.77659013525215,-7.020542032458331,b'',1.9538224e-05
2024-04-07,113.77659013525215,-7.055264254680547,b'',
2024-04-08,113.77659013525215,-7.020542032458331,b'',
2024-04-08,113.77659013525215,-7.055264254680547,b'',
2024-04-09,113.77659013525215,-7.020542032458331,b'',
2024-04-09,113.77659013525215,-7.055264254680547,b'',
2024-04-10,113.77659013525215,-7.020542032458331,b'',
2024-04-10,113.77659013525215,-7.055264254680547,b'',
2024-04-11,113.77659013525215,-7.020542032458331,b'',
2024-04-11,113.77659013525215,-7.055264254680547,b'',
2024-04-12,113.77659013525215,-7.020542032458331,b'',
2024-04-12,113.77659013525215,-7.055264254680547,b'',
2024-04-13,113.77659013525215,-7.020542032458331,b'',
2024-04-13,113.77659013525215,-7.055264254680547,b'',
2024-04-14,113.77659013525215,-7.020542032458331,b'',9.552541e-06
2024-04-14,113.77659013525215,-7.055264254680547,b'',9.528041e-06
2024-04-15,113.77659013525215,-7.020542032458331,b'',
2024-04-15,113.77659013525215,-7.055264254680547,b'',1.2351989e-05
2024-04-16,113.77659013525215,-7.020542032458331,b'',4.216158e-05
2024-04-16,113.77659013525215,-7.055264254680547,b'',-9.310394e-06
2024-04-17,113.77659013525215,-7.020542032458331,b'',
2024-04-17,113.77659013525215,-7.055264254680547,b'',
2024-04-18,113.77659013525215,-7.020542032458331,b'',
2024-04-18,113.77659013525215,-7.055264254680547,b'',
2024-04-19,113.77659013525215,-7.020542032458331,b'',
2024-04-19,113.77659013525215,-7.055264254680547,b'',
2024-04-20,113.77659013525215,-7.020542032458331,b'',-7.2686794e-06
2024-04-20,113.77659013525215,-7.055264254680547,b'',9.127193e-06
2024-04-21,113.77659013525215,-7.020542032458331,b'',
2024-04-21,113.77659013525215,-7.055264254680547,b'',
2024-04-22,113.77659013525215,-7.020542032458331,b'',
2024-04-22,113.77659013525215,-7.055264254680547,b'',
2024-04-23,113.77659013525215,-7.020542032458331,b'',1.2737378e-05
2024-04-23,113.77659013525215,-7.055264254680547,b'',1.2737378e-05
2024-04-24,113.77659013525215,-7.020542032458331,b'',
2024-04-24,113.77659013525215,-7.055264254680547,b'',
2024-04-25,113.77659013525215,-7.020542032458331,b'',
2024-04-25,113.77659013525215,-7.055264254680547,b'',
2024-04-26,113.77659013525215,-7.020542032458331,b'',6.6591624e-06
2024-04-26,113.77659013525215,-7.055264254680547,b'',6.6591624e-06
2024-04-27,113.77659013525215,-7.020542032458331,b'',9.8470455e-06
2024-04-27,113.77659013525215,-7.055264254680547,b'',
2024-04-28,113.77659013525215,-7.020542032458331,b'',9.950348e-06
2024-04-28,113.77659013525215,-7.055264254680547,b'',9.950348e-06
2024-04-29,113.77659013525215,-7.020542032458331,b'',
2024-04-29,113.77659013525215,-7.055264254680547,b'',
